Step,Price,ManagerIncome,NbOp,NbSh
947,1.87,136.51,4,6
948,1.89,136.57,3,6
949,1.88,136.61,6,6
950,1.86,136.71,8,13
951,1.89,136.97,6,19
952,1.70,137.06,5,9
953,1.61,137.11,6,9
954,1.61,137.41,10,29
955,1.60,137.73,8,25
956,1.47,137.95,8,14
957,1.48,137.98,4,4
958,1.47,138.03,4,13
959,1.44,138.09,6,18
960,1.35,138.29,7,21
961,1.37,138.29,2,5
962,1.42,138.54,10,28
963,1.36,138.65,6,11
964,1.38,138.85,10,23
965,1.46,138.89,3,5
966,1.40,138.99,6,17
967,1.46,139.01,2,2
968,1.48,139.10,7,11
969,1.48,139.12,4,4
970,1.49,139.17,4,4
971,1.53,139.25,8,15
972,1.48,139.38,7,10
973,1.49,139.68,7,32
974,1.41,139.80,9,16
975,1.36,139.82,3,8
976,1.43,139.94,6,16
977,1.36,140.06,10,15
978,1.35,140.24,8,26
979,1.40,140.35,9,17
980,1.45,140.55,8,19
981,1.40,140.61,4,7
982,1.38,140.72,8,11
983,1.41,140.75,4,6
984,1.37,140.91,10,27
985,1.47,141.04,5,17
986,1.49,141.25,7,22
987,1.51,141.48,8,25
988,1.48,141.56,4,7
989,1.49,141.90,8,25
990,1.33,141.95,2,7
