Step Price ManagerIncome NbOp NbSh
 466 21.98         39.41    0    0
 467 21.98         39.41    0    0
 468 21.98         39.41    0    0
 469 21.08         39.43    1    1
 470 21.08         39.43    0    0
 471 21.08         39.43    0    0
 472 21.08         39.43    0    0
 473 21.08         39.43    0    0
 474 21.08         39.43    0    0
 475 21.08         39.43    0    0
 476 21.08         39.43    0    0
 477 21.50         39.74    1    1
 478 21.50         39.74    0    0
 479 18.66         40.03    1    2
 480 18.55         40.10    1    1
 481 18.24         40.17    1    1
 482 18.24         40.17    0    0
 483 16.61         40.22    1    1
 484 16.61         40.22    0    0
 485 16.72         41.01    3    4
 486 16.79         41.02    1    1
 487 16.61         41.34    1    1
 488 14.67         41.58    4    4
 489 14.67         41.58    0    0
 490 14.67         41.58    0    0
 491 13.90         41.73    2    2
 492 13.57         41.89    1    1
 493 13.57         41.89    0    0
 494 13.57         41.89    0    0
 495 11.99         41.94    1    1
 496 11.99         41.94    0    0
 497 12.52         42.16    4    4
 498 11.63         42.50    6    7
 499 10.64         42.51    1    1
 500 10.64         42.51    0    0
 501 10.64         42.51    0    0
 502 10.59         42.60    1    2
 503 10.45         42.70    2    2
 504 11.35         42.75    1    2
 505 11.35         42.75    0    0
 506 10.80         42.93    2    2
 507 10.71         43.12    2    2
 508 11.04         43.15    1    1
 509 11.22         43.24    2    2
 510 11.17         43.26    1    1
 511 10.92         43.32    1    1
 512 10.92         43.32    0    0
 513 10.92         43.32    0    0
 514 11.03         43.56    3    3
 515 10.96         43.62    2    2
 516 11.73         43.66    1    1
 517 11.66         43.82    3    4
 518 10.50         43.95    2    2
 519 10.19         44.13    2    3
 520 10.68         44.18    1    1
 521 10.71         44.22    1    1
 522 10.65         44.29    2    2
 523 10.65         44.29    0    0
 524 11.38         44.32    1    1
 525 11.28         44.41    1    1
 526 10.82         44.48    2    2
 527 11.45         44.59    1    1
 528 11.45         44.59    0    0
 529 11.99         44.66    1    1
 530 12.39         44.70    1    1
 531 12.39         44.70    0    0
 532 11.81         44.83    1    1
 533 12.80         44.85    1    2
 534 12.80         44.85    0    0
 535 12.80         44.85    0    0
 536 12.45         44.89    1    1
 537 12.45         44.89    0    0
 538 12.45         44.89    0    0
 539 12.45         44.89    0    0
 540 13.71         44.98    1    1
 541 13.71         44.98    0    0
 542 14.18         45.21    1    2
 543 14.18         45.21    0    0
 544 14.18         45.21    0    0
 545 13.93         45.22    1    1
 546 13.93         45.22    0    0
 547 13.93         45.22    0    0
